,Geography,Time,DelinquencyRate,AverageMortgageAmount,PopulationSize
110,Newfoundland,2015Q2,0.37,193956,528063
111,Prince Edward Island,2015Q2,0.62,146818,144259
112,Nova Scotia,2015Q2,0.67,165288,936271
113,New Brunswick,2015Q2,0.8,128378,758948
114,Québec,2015Q2,0.41,164764,8163063
115,Ontario,2015Q2,0.25,259093,13669860
116,Manitoba,2015Q2,0.3,190383,1288094
117,Saskatchewan,2015Q2,0.43,226957,1118806
118,Alberta,2015Q2,0.33,299837,4128300
119,British Columbia,2015Q2,0.38,328540,4757759
120,Newfoundland,2015Q3,0.37,199758,528117
121,Prince Edward Island,2015Q3,0.63,150403,144546
122,Nova Scotia,2015Q3,0.66,178091,936525
123,New Brunswick,2015Q3,0.81,137565,758842
124,Québec,2015Q3,0.41,170403,8175272
125,Ontario,2015Q3,0.24,281259,13707118
126,Manitoba,2015Q3,0.29,206275,1292227
127,Saskatchewan,2015Q3,0.45,234840,1120967
128,Alberta,2015Q3,0.35,309953,4144491
129,British Columbia,2015Q3,0.34,350672,4776388
130,Newfoundland,2015Q4,0.41,202487,528696
131,Prince Edward Island,2015Q4,0.67,155926,144894
132,Nova Scotia,2015Q4,0.68,172863,938320
133,New Brunswick,2015Q4,0.79,137039,759778
134,Québec,2015Q4,0.42,164235,8190014
135,Ontario,2015Q4,0.23,277802,13757688
136,Manitoba,2015Q4,0.33,201640,1297329
137,Saskatchewan,2015Q4,0.49,231611,1124919
138,Alberta,2015Q4,0.36,303244,4159519
139,British Columbia,2015Q4,0.32,357016,4802955
140,Newfoundland,2016Q1,0.45,196798,528800
141,Prince Edward Island,2016Q1,0.7,157322,145202
142,Nova Scotia,2016Q1,0.7,167596,938690
143,New Brunswick,2016Q1,0.82,132325,760580
144,Québec,2016Q1,0.44,167154,8193624
145,Ontario,2016Q1,0.24,278626,13773629
146,Manitoba,2016Q1,0.34,193970,1302544
147,Saskatchewan,2016Q1,0.54,225641,1127773
148,Alberta,2016Q1,0.41,296111,4169830
149,British Columbia,2016Q1,0.32,368782,4811465
150,Newfoundland,2016Q2,0.46,196806,529063
151,Prince Edward Island,2016Q2,0.7,150732,145784
152,Nova Scotia,2016Q2,0.72,168948,940382
153,New Brunswick,2016Q2,0.78,133027,762289
154,Québec,2016Q2,0.43,169326,8204085
155,Ontario,2016Q2,0.22,285024,13816545
156,Manitoba,2016Q2,0.35,196385,1307689
157,Saskatchewan,2016Q2,0.57,230729,1131147
158,Alberta,2016Q2,0.45,298884,4181765
159,British Columbia,2016Q2,0.29,385910,4832155
160,Newfoundland,2016Q3,0.49,198265,529426
161,Prince Edward Island,2016Q3,0.67,169651,146969
162,Nova Scotia,2016Q3,0.76,178784,942790
163,New Brunswick,2016Q3,0.84,143533,763350
164,Québec,2016Q3,0.42,176522,8225950
165,Ontario,2016Q3,0.2,307369,13875394
166,Manitoba,2016Q3,0.34,209051,1314139
167,Saskatchewan,2016Q3,0.61,236380,1135987
168,Alberta,2016Q3,0.53,304683,4196061
169,British Columbia,2016Q3,0.26,395297,4859250
170,Newfoundland,2016Q4,0.46,197794,529900
171,Prince Edward Island,2016Q4,0.6,155799,147936
172,Nova Scotia,2016Q4,0.75,173305,946030
173,New Brunswick,2016Q4,0.79,140124,764844
174,Québec,2016Q4,0.4,170309,8249692
175,Ontario,2016Q4,0.19,310236,13946431
176,Manitoba,2016Q4,0.35,206958,1319911
